jrv,cod_departamento,departamento,cod_municipio,municipio,orden,id,agrupacion,comunidad,empadronados,cui_inicial,cui_final,sector,correlativo,nombre,ubicacion_direccion,zona,direccion_completa,LATITUD,LONGITUD,MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN,diferencia,comentario
476,1,GUATEMALA,1,GUATEMALA,1.0,29.0,'029',CABECERA MUNICIPAL,400,2344161060101,2383044851415,URBANO,34,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO,13 AVENIDA 15 CALLE FINAL,6.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO, 13 AVENIDA 15 CALLE FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66166666666667,-90.49722222222222,476,Distrito Central,0,Guatemala,1,38,400,10,17,58,1,6.0,6,0,5,7,0,2,0,2,0,0,0,3,0,2,2,3,9,0,44,210,17,0,227,0,227,0,400,173,177,194.0,194.0,Sumas Asentadas sin cuadrar,1,dc3337a527d1b8ac258931e36771d55f02d3992428b0262a46360ac455d743b1,25/06/2023 23:35:44,ESCANER,33,"Datos no cuadran, foppa x la ciudad no tiene datos "
479,1,GUATEMALA,1,GUATEMALA,1.0,29.0,'029',CABECERA MUNICIPAL,400,2447318880101,2489599050101,URBANO,34,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO,13 AVENIDA 15 CALLE FINAL,6.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO, 13 AVENIDA 15 CALLE FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66166666666667,-90.49722222222222,479,Distrito Central,0,Guatemala,1,38,400,5,20,61,2,3.0,2,1,9,8,1,3,0,3,1,0,0,0,40,1,2,4,14,0,66,245,22,0,267,0,267,0,400,133,246,268.0,268.0,Sumas Asentadas sin cuadrar,1,2bdd88e0731e51fca9e26657d221fdb6212b9488acc8e2eb9bdbba40cebcffe6,26/06/2023 09:20:10,ESCANER,1,Pendiente
491,1,GUATEMALA,1,GUATEMALA,1.0,29.0,'029',CABECERA MUNICIPAL,400,3016576880101,3316250671224,URBANO,34,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO,13 AVENIDA 15 CALLE FINAL,6.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO, 13 AVENIDA 15 CALLE FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66166666666667,-90.49722222222222,491,Distrito Central,0,Guatemala,1,38,400,2,10,20,0,1.0,2,2,2,2,0,1,2,0,1,1,0,1,76,2,1,0,14,0,32,168,10,0,178,0,178,0,400,222,172,182.0,182.0,Sumas Asentadas sin cuadrar,1,f394f120b9c7295b48a91872bf2c0017c6b385f756c5420c4b847973d1b80bfe,26/06/2023 00:58:23,ESCANER,4,Pendiente
495,1,GUATEMALA,1,GUATEMALA,1.0,30.0,'030',CABECERA MUNICIPAL,400,1573187530919,1810427110101,URBANO,35,ESCUELA OFICIAL NÚMERO  150 ASENTAMIENTO ROOSEVELT,13 CALLE B 13-20 COLONIA QUINTANAL,6.0,"ESCUELA OFICIAL NÚMERO  150 ASENTAMIENTO ROOSEVELT, 13 CALLE B 13-20 COLONIA QUINTANAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66,-90.49805555555555,495,Distrito Central,0,Guatemala,1,39,400,16,16,65,1,6.0,3,2,9,10,0,2,0,4,0,1,0,4,0,0,4,5,14,2,58,253,19,0,272,0,272,0,400,128,222,241.0,241.0,Sumas Asentadas sin cuadrar,1,dc820d55d5ef0e69d0eef79551cf58180dba24f31ef628e69d98d6ca4998c83e,25/06/2023 23:25:39,ESCANER,31,"Datos no cuadran, foppa x la ciudad no tiene datos "
499,1,GUATEMALA,1,GUATEMALA,1.0,30.0,'030',CABECERA MUNICIPAL,400,2585953610101,2938459640614,URBANO,35,ESCUELA OFICIAL NÚMERO  150 ASENTAMIENTO ROOSEVELT,13 CALLE B 13-20 COLONIA QUINTANAL,6.0,"ESCUELA OFICIAL NÚMERO  150 ASENTAMIENTO ROOSEVELT, 13 CALLE B 13-20 COLONIA QUINTANAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66,-90.49805555555555,499,Distrito Central,0,Guatemala,1,39,400,8,21,59,0,2.0,4,0,9,7,2,4,1,3,0,0,1,0,36,0,3,3,9,0,41,214,13,2,229,0,229,1,400,171,213,228.0,228.0,Sumas Asentadas sin cuadrar,1,04af9aaf3a46a75d8391be159c7bdd1fb1a992ccd39bae96be24afed06429534,26/06/2023 03:09:33,ESCANER,1,Pendiente
523,1,GUATEMALA,1,GUATEMALA,1.0,31.0,'031',CABECERA MUNICIPAL,398,3496280410917,4099789492101,URBANO,37,ESCUELA OFICIAL URBANA MIXTA NÚMERO 74 GABRIEL ARRIOLA PORRES,12 AVENIDA 6 CALLE A COLONIA QUINTA SAMAYOA,7.0,"ESCUELA OFICIAL URBANA MIXTA NÚMERO 74 GABRIEL ARRIOLA PORRES, 12 AVENIDA 6 CALLE A COLONIA QUINTA SAMAYOA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.625,-90.54527777777777,523,Distrito Central,0,Guatemala,1,41,398,3,7,33,0,6.0,4,1,5,4,0,4,0,2,2,0,0,1,80,1,3,4,13,0,43,217,7,1,225,0,225,0,398,173,216,224.0,224.0,Sumas Asentadas sin cuadrar,1,68fb395585a9d52cab22103cee2561fb2aeab40cee659a6f24fee052a7b476d5,26/06/2023 01:54:54,ESCANER,1,Pendiente
558,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2408402670101,2434198050101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,558,Distrito Central,0,Guatemala,1,45,400,8,18,67,1,4.0,5,2,3,7,1,4,1,1,0,0,0,6,35,1,1,5,6,0,62,242,51,1,0,0,294,0,402,109,238,290.0,290.0,Sumas Asentadas sin cuadrar,1,345108fdacb1475a5636aef29ed77a93cbae7e8f46dbd82644b822ccb524609b,26/06/2023 02:04:36,ESCANER,4,Pendiente
559,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2434231360101,2459699260101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,559,Distrito Central,0,Guatemala,1,45,400,8,20,51,2,2.0,1,2,2,10,2,3,1,2,2,0,0,2,34,1,2,10,5,1,83,247,25,4,276,1,277,0,400,123,246,275.0,276.0,Sumas Asentadas sin cuadrar,1,fc8e1e107933476f927ef2edf29ebbbda4889d415f10ef651fcc8153fdda2883,26/06/2023 00:20:15,ESCANER,1,Pendiente
560,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2459700532214,2493241210101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,560,Distrito Central,0,Guatemala,1,45,400,8,20,48,1,8.0,7,4,5,6,0,2,1,3,1,1,1,2,0,1,1,11,7,1,80,259,18,0,277,123,400,0,400,123,219,237.0,360.0,Sumas Asentadas sin cuadrar,1,d13663a3400ecc514d673dabed9d8a889d8cf4d3e280dfad9172b58538c0166a,26/06/2023 00:22:50,ESCANER,40,"Datos no cuadran, foppa x la ciudad no tiene datos "
564,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2572049540101,2600738140101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,564,Distrito Central,0,Guatemala,1,45,400,11,21,42,1,5.0,8,1,7,9,1,4,3,3,0,0,0,5,26,2,1,10,10,1,76,246,17,4,267,0,267,0,400,133,247,268.0,268.0,Sumas Asentadas sin cuadrar,1,76ab0c2b759c1bd888a81c58f87298ed7e1f714ad29054342f93c1dbda0f5b49,25/06/2023 23:51:58,ESCANER,1,Pendiente
565,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2600738570101,2628779450701,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,565,Distrito Central,0,Guatemala,1,45,400,5,17,42,0,4.0,4,2,3,11,0,4,0,3,1,0,1,3,4,3,2,3,14,1,64,222,16,2,240,0,240,0,400,160,191,209.0,209.0,Sumas Asentadas sin cuadrar,1,0132fa09c2b7d8946770a2d8d16420f89a67999118e067514b49da9d86280ea3,26/06/2023 09:28:26,ESCANER,31,Pendiente
569,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,2795934300101,2979453940101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,569,Distrito Central,0,Guatemala,1,45,400,4,16,45,0,8.0,5,0,5,6,0,2,0,1,2,1,0,0,50,0,2,4,6,0,69,230,10,1,241,0,242,0,400,158,226,237.0,237.0,Sumas Asentadas sin cuadrar,1,33c85e7e63c32825783d0027528bec6ef0645869f397664899b0707904defccf,25/06/2023 23:42:39,ESCANER,4,Pendiente
572,1,GUATEMALA,1,GUATEMALA,1.0,33.0,'033',CABECERA MUNICIPAL,400,3019172480101,3538008130101,URBANO,41,FUNDACION AMG INTERNATIONAL,14 CALLE 10-80 COLONIA LA VERBENA,7.0,"FUNDACION AMG INTERNATIONAL, 14 CALLE 10-80 COLONIA LA VERBENA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62916666666667,-90.53722222222223,572,Distrito Central,0,Guatemala,1,45,400,9,13,27,3,3.0,3,2,7,7,0,1,2,0,0,1,0,1,66,2,0,8,13,2,58,230,7,1,38,0,238,0,400,162,228,236.0,236.0,Sumas Asentadas sin cuadrar,1,0e4e04fdb18fd1051b6a34d8d74d333231e24a21513c5ad9dd08239526caeeed,26/06/2023 00:09:03,ESCANER,2,Pendiente
604,1,GUATEMALA,1,GUATEMALA,1.0,35.0,'035',CABECERA MUNICIPAL,400,2634492970101,2831862830101,URBANO,43,ESCUELA OFICIAL URBANA MIXTA NÚMERO 85 CIUDAD DE PLATA,30 AVENIDA D 13-49 CIUDAD DE PLATA,7.0,"ESCUELA OFICIAL URBANA MIXTA NÚMERO 85 CIUDAD DE PLATA, 30 AVENIDA D 13-49 CIUDAD DE PLATA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.6375,-90.55027777777778,604,Distrito Central,0,Guatemala,1,47,400,6,13,42,3,6.0,4,0,7,1,0,4,1,1,2,2,0,3,0,0,5,5,7,0,59,200,0,0,0,0,0,0,0,0,171,,,Acta ilegible,0,2b226d8ca66b8511804ef269b8afc4cea58ee78d7f67ecf36b168d543b3da794,25/06/2023 23:26:19,ESCANER,29,"Datos no cuadran, foppa x la ciudad no tiene datos "
618,1,GUATEMALA,1,GUATEMALA,1.0,36.0,'036',CABECERA MUNICIPAL,400,1774952000101,1791076150101,URBANO,44,ESCUELA OFICIAL NÚMERO 48 25 DE SEPTIEMBRE,6 CALLE A 14-59 COLONIA QUINTA SAMAYOA,7.0,"ESCUELA OFICIAL NÚMERO 48 25 DE SEPTIEMBRE, 6 CALLE A 14-59 COLONIA QUINTA SAMAYOA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62777777777778,-90.54722222222222,618,Distrito Central,0,Guatemala,1,48,400,7,19,45,3,1.0,2,2,8,10,0,2,0,2,1,1,0,3,29,1,2,6,13,1,86,248,23,2,269,0,269,0,400,131,244,269.0,269.0,Sumas Asentadas sin cuadrar,1,f5642a5aa89d8b1c4473bd2ea2cf06fa3a8f6da136a53f09b9f142c348404370,26/06/2023 00:46:32,ESCANER,4,Pendiente
665,1,GUATEMALA,1,GUATEMALA,1.0,36.0,'036',CABECERA MUNICIPAL,400,2656846410101,2665747422212,URBANO,47,LICEO ADVENTISTA EL PROGRESO,2 CALLE 35-44 CALZADA MATEO FLORES,7.0,"LICEO ADVENTISTA EL PROGRESO, 2 CALLE 35-44 CALZADA MATEO FLORES, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63361111111111,-90.56472222222222,665,Distrito Central,0,Guatemala,1,51,400,10,16,25,3,6.0,3,3,10,2,1,3,0,2,0,0,2,2,22,1,2,8,2,1,54,189,10,1,199,0,199,0,400,201,178,189.0,189.0,Sumas Asentadas sin cuadrar,1,0309a853ebd685477309fea459a04470c466411fc6f85bb89e33ffb0aef5a052,25/06/2023 23:07:04,ESCANER,11,Pendiente
691,1,GUATEMALA,1,GUATEMALA,1.0,37.0,'037',CABECERA MUNICIPAL,400,1572797150101,1598987061901,URBANO,49,COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS,8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA,7.0,"COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS, 8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.61972222222222,-90.54194444444444,691,Distrito Central,0,Guatemala,1,53,400,13,18,47,0,1.0,11,3,0,5,0,2,2,2,1,0,0,2,39,2,4,1,15,0,61,230,19,0,249,0,249,0,400,151,229,248.0,248.0,Sumas Asentadas sin cuadrar,1,4b04e2e8f43f3687eb04c2508e1623db20ee038125912bba448f2ca076154702,26/06/2023 02:27:35,ESCANER,1,Pendiente
700,1,GUATEMALA,1,GUATEMALA,1.0,37.0,'037',CABECERA MUNICIPAL,400,1877755590101,1929489620101,URBANO,49,COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS,8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA,7.0,"COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS, 8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.61972222222222,-90.54194444444444,700,Distrito Central,0,Guatemala,1,53,400,12,27,69,0,1.0,6,1,3,5,0,4,0,1,0,0,1,1,0,0,4,2,7,1,53,238,19,2,259,0,259,0,400,141,198,219.0,219.0,Sumas Asentadas sin cuadrar,1,9282e55ce59dbf255848c4b985050338220fd2cb1138a6b1a8530f956cac9ba8,26/06/2023 02:34:15,ESCANER,40,"Datos no cuadran, foppa x la ciudad no tiene datos "
701,1,GUATEMALA,1,GUATEMALA,1.0,37.0,'037',CABECERA MUNICIPAL,400,1929556240101,1971926610101,URBANO,49,COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS,8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA,7.0,"COLEGIO PRIVADO MIXTO SAN FRANCISCO DE ASÍS, 8 AVENIDA 5-55 COLONIA QUINTA SAMAYOA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.61972222222222,-90.54194444444444,701,Distrito Central,0,Guatemala,1,53,400,9,12,67,1,4.0,9,1,6,6,0,2,0,3,1,0,1,0,40,2,3,1,12,0,57,255,16,1,254,1,255,0,400,145,237,254.0,255.0,Sumas Asentadas sin cuadrar,1,26c051c093c59dd5c70fbfc099b3f70dcecd07efbf0926d6c8ebb10a8f00cc8d,26/06/2023 06:07:42,ESCANER,18,Pendiente
727,1,GUATEMALA,1,GUATEMALA,1.0,37.0,'037',CABECERA MUNICIPAL,400,2731848810801,2803964730101,URBANO,50,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DOCTOR CARLOS FEDERICO MORA,CALZADA SAN JUAN 32-50 COLONIA CENTROAMÉRICA,7.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DOCTOR CARLOS FEDERICO MORA, CALZADA SAN JUAN 32-50 COLONIA CENTROAMÉRICA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.6325,-90.55805555555555,727,Distrito Central,0,Guatemala,1,54,400,8,8,52,0,2.0,8,1,4,1,0,4,2,0,1,2,0,7,45,1,1,4,9,0,54,234,20,0,254,0,284,0,0,0,214,234.0,234.0,Sumas Asentadas sin cuadrar,1,e049c5ec4c075fe901acacc6a87b8a72ea1ed8a13cc8196e073263633248df5a,26/06/2023 01:02:32,ESCANER,20,Pendiente
730,1,GUATEMALA,1,GUATEMALA,1.0,37.0,'037',CABECERA MUNICIPAL,400,3000613310101,3009818130101,URBANO,50,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DOCTOR CARLOS FEDERICO MORA,CALZADA SAN JUAN 32-50 COLONIA CENTROAMÉRICA,7.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DOCTOR CARLOS FEDERICO MORA, CALZADA SAN JUAN 32-50 COLONIA CENTROAMÉRICA, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.6325,-90.55805555555555,730,Distrito Central,0,Guatemala,1,54,400,6,12,48,0,3.0,9,0,3,0,0,7,0,1,0,0,1,0,124,1,2,1,20,1,67,309,10,1,320,0,320,0,400,80,306,317.0,317.0,Sumas Asentadas sin cuadrar,1,549e0e2a7ab95c69d0555c7ae7cecca8080e7927401c2e0898decf521ff2ba12,26/06/2023 01:47:02,ESCANER,3,Pendiente
770,1,GUATEMALA,1,GUATEMALA,1.0,40.0,'040',CABECERA MUNICIPAL,400,1853382590101,2266685760101,URBANO,55,UNIVERSIDAD MESOAMERICANA,40 CALLE 10-02,8.0,"UNIVERSIDAD MESOAMERICANA, 40 CALLE 10-02, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.61030555555556,-90.52952777777777,770,Distrito Central,0,Guatemala,1,59,400,10,23,70,0,8.0,4,3,5,3,0,5,0,1,2,1,1,3,40,3,0,2,16,1,47,247,17,0,264,0,264,0,400,136,248,265.0,265.0,Sumas Asentadas sin cuadrar,1,93784880220255bd418b5fe787dd4d997b9ebcf7fd92f5305355d75cb0208c60,26/06/2023 00:02:40,ESCANER,1,Pendiente
779,1,GUATEMALA,1,GUATEMALA,1.0,41.0,'041',CABECERA MUNICIPAL,400,1909070880101,1991347820101,URBANO,56,COLEGIO SALESIANO DON BOSCO,AVENIDA SANTA CECILIA 26-15,1.0,"COLEGIO SALESIANO DON BOSCO, AVENIDA SANTA CECILIA 26-15, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62419444444444,-90.52122222222222,779,Distrito Central,0,Guatemala,1,60,400,10,16,66,0,6.0,7,2,6,5,66,6,0,2,0,0,1,1,0,3,6,5,9,0,57,236,21,0,257,0,257,0,400,143,274,295.0,295.0,Sumas Asentadas sin cuadrar,1,48991293db6a0bc15a1f56cfd2ed9b30bba5314b7258481309fca1a74ed77ac1,26/06/2023 05:47:53,ESCANER,38,"Datos no cuadran, foppa x la ciudad no tiene datos "
787,1,GUATEMALA,1,GUATEMALA,1.0,41.0,'041',CABECERA MUNICIPAL,400,2463760580101,2515770230101,URBANO,56,COLEGIO SALESIANO DON BOSCO,AVENIDA SANTA CECILIA 26-15,1.0,"COLEGIO SALESIANO DON BOSCO, AVENIDA SANTA CECILIA 26-15, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62419444444444,-90.52122222222222,787,Distrito Central,0,Guatemala,1,60,400,13,16,92,0,5.0,6,1,4,5,0,3,1,2,2,0,1,0,40,0,2,10,12,0,38,254,19,2,275,0,275,0,400,125,253,274.0,274.0,Sumas Asentadas sin cuadrar,1,35f76c68cb9f40023aad4d32f6799671a060a3273117016e8166b2ff0b96e055,26/06/2023 05:04:12,ESCANER,1,Pendiente
790,1,GUATEMALA,1,GUATEMALA,1.0,41.0,'041',CABECERA MUNICIPAL,400,2591214280101,2632469730101,URBANO,56,COLEGIO SALESIANO DON BOSCO,AVENIDA SANTA CECILIA 26-15,1.0,"COLEGIO SALESIANO DON BOSCO, AVENIDA SANTA CECILIA 26-15, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62419444444444,-90.52122222222222,790,Distrito Central,0,Guatemala,1,60,400,14,16,62,0,3.0,7,4,2,4,2,4,2,1,3,1,0,1,0,1,2,4,12,2,47,221,11,1,224,0,233,0,400,167,194,206.0,206.0,Sumas Asentadas sin cuadrar,1,b059d783d9797c782f44aa2ccb86b3a51696ed18e9d8c323b40867c9a0ed8fcf,26/06/2023 01:44:16,ESCANER,27,"Datos no cuadran, foppa x la ciudad no tiene datos "
807,1,GUATEMALA,1,GUATEMALA,1.0,43.0,'043',CABECERA MUNICIPAL,400,1736776731804,1818882110101,URBANO,58,ESCUELA NACIONAL PARA PARVULOS ALBERTO VELASQUEZ,17 CALLE 9-09,10.0,"ESCUELA NACIONAL PARA PARVULOS ALBERTO VELASQUEZ, 17 CALLE 9-09, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.58916666666667,-90.50452777777778,807,Distrito Central,0,Guatemala,1,62,400,14,28,101,0,2.0,13,0,0,0,0,4,2,2,0,9,0,1,22,0,1,1,12,1,57,268,14,0,276,0,276,0,400,124,270,284.0,284.0,Sumas Asentadas sin cuadrar,1,8fb0beada66ee3fc6eaf62d44c6b026a06a20e88a94271f38fdb57250b14b88a,26/06/2023 02:31:48,ESCANER,2,Pendiente
844,1,GUATEMALA,1,GUATEMALA,1.0,45.0,'045',CABECERA MUNICIPAL,400,1863600020115,1929091690101,URBANO,62,INSTITUTO JUAN DIÉGUEZ OLAVERRI,8 AVENIDA 25-40 COLONIA GRANAI II,11.0,"INSTITUTO JUAN DIÉGUEZ OLAVERRI, 8 AVENIDA 25-40 COLONIA GRANAI II, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.6,-90.55527777777777,844,Distrito Central,0,Guatemala,1,66,400,15,13,73,0,1.0,8,1,1,5,0,1,0,2,3,1,1,0,54,1,5,4,12,0,52,252,19,2,274,0,274,0,398,124,253,274.0,274.0,Sumas Asentadas sin cuadrar,1,6240e6455e8acb49ac368147af17bd61b5f5888a352652a98083f750ec51f812,26/06/2023 03:17:23,ESCANER,1,Pendiente
854,1,GUATEMALA,1,GUATEMALA,1.0,45.0,'045',CABECERA MUNICIPAL,400,2389891350101,2413985761212,URBANO,63,UNIVERSIDAD RURAL DE GUATEMALA,17 AVENIDA 27-80 COLONIA LAS CHARCAS,11.0,"UNIVERSIDAD RURAL DE GUATEMALA, 17 AVENIDA 27-80 COLONIA LAS CHARCAS, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.60222222222222,-90.56305555555555,854,Distrito Central,0,Guatemala,1,67,400,19,11,78,0,3.0,7,0,7,7,1,3,1,3,0,1,2,1,32,0,0,1,11,4,49,245,17,0,262,0,262,0,0,0,241,258.0,258.0,Sumas Asentadas sin cuadrar,1,4eb3495a3f8e64af963d577a82a9fa52daed899ab926083c86fd8bd2cabc06be,26/06/2023 01:10:50,ESCANER,4,Pendiente
880,1,GUATEMALA,1,GUATEMALA,1.0,46.0,'046',CABECERA MUNICIPAL,400,2449495730101,2518849100101,URBANO,66,COLEGIO ITALIANO,CALZADA ROOSEVELT 35-83,11.0,"COLEGIO ITALIANO, CALZADA ROOSEVELT 35-83, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62972222222222,-90.56694444444445,880,Distrito Central,0,Guatemala,1,69,400,6,12,100,0,0.0,3,2,1,7,0,4,0,2,0,2,2,1,57,1,4,6,14,1,64,287,14,1,302,0,302,0,400,98,289,304.0,304.0,Sumas Asentadas sin cuadrar,1,35df32c79be80773c4acac4ec2afc1ff08d9bcfa07856528e915eb1ed67bcd3c,26/06/2023 06:15:59,ESCANER,2,Pendiente
897,1,GUATEMALA,1,GUATEMALA,1.0,47.0,'047',CABECERA MUNICIPAL,400,2606566310101,2711316750207,URBANO,68,COLEGIO SANTA TERESITA,22 CALLE 13-31 COLONIA MARISCAL,11.0,"COLEGIO SANTA TERESITA, 22 CALLE 13-31 COLONIA MARISCAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.60333333333333,-90.55666666666666,897,Distrito Central,0,Guatemala,1,70,400,13,11,75,0,2.0,5,0,5,5,1,5,0,4,0,2,1,0,59,2,2,3,1,1,55,264,17,0,281,0,281,0,397,116,252,269.0,269.0,Sumas Asentadas sin cuadrar,1,6becce1f531005607edebe11f9809d064dd3032528aa9ab5b0d6998e7aee7794,26/06/2023 04:14:19,ESCANER,12,Pendiente
902,1,GUATEMALA,1,GUATEMALA,1.0,48.0,'048',CABECERA MUNICIPAL,400,1641058750101,1725714990101,URBANO,63,UNIVERSIDAD RURAL DE GUATEMALA,17 AVENIDA 27-80 COLONIA LAS CHARCAS,11.0,"UNIVERSIDAD RURAL DE GUATEMALA, 17 AVENIDA 27-80 COLONIA LAS CHARCAS, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.60222222222222,-90.56305555555555,902,Distrito Central,0,Guatemala,1,71,400,17,14,79,1,4.0,6,1,1,4,0,8,1,2,2,1,2,2,41,1,4,4,7,1,61,269,12,0,281,0,0,0,402,121,264,276.0,276.0,Sumas Asentadas sin cuadrar,1,9be4de8f58b905825bfde7c1b9c1406d7399a30183ce27185ab1f47ba27a113e,26/06/2023 02:01:03,ESCANER,5,Pendiente
